sheet,cell,original,translation
体检3个产品,Z24,颈动脉彩超：颈动脉超声检查是体检人群心血管病风险筛查的重要手段，是评价全身动脉硬化的一个“窗口”。通过测量颈动脉内中膜厚度（IMT）和检测有无斑块形成，对动脉粥样硬化性疾病的早期诊断具有重要价值，对心血管疾病风险评估与预测也具有重要意义,
体检3个产品,K25,早餐,
体检3个产品,L25,营养早餐：鸡蛋、牛奶、面点、粥、小菜等,
体检3个产品,M25,"=_wpsfn.WPSAI.TRANSLATE(K25,""英文"")",
体检3个产品,N25,"=_wpsfn.WPSAI.TRANSLATE(L25,""英文"")",
体检3个产品,O25,心理健康检测,
体检3个产品,P25,90项症状自评量表（SCL-90）、艾森克个性测验（EPQ）成人版、包含情绪、压力及睡眠等心身综合评估，实现慢病及心身疾病风险风险，全面了解健康状况，该项目对个体心身健康管理有着重要意义和作用。,
体检3个产品,Q25,"=_wpsfn.WPSAI.TRANSLATE(O25,""英文"")",
体检3个产品,R25,"=_wpsfn.WPSAI.TRANSLATE(P25,""英文"")",
体检3个产品,T25,幽门螺杆菌检测,
体检3个产品,U25,碳13呼气试验。检测是否有幽门螺杆菌感染。幽门螺杆菌感染是慢性胃炎、消化性溃疡、胃癌等最重要的致病因素。,
体检3个产品,Z25,心脏彩色多普勒超声心动图。Clinical Significance：心脏彩超是检查心脏大血管结构、形态最常用的方法，是诊断先天性心脏病、心脏瓣膜病、心肌病等结构性心脏病的主要手段,
体检3个产品,K26,材料费,
体检3个产品,L26,一次性耗材、档案管理,
体检3个产品,M26,"=_wpsfn.WPSAI.TRANSLATE(K26,""英文"")",
体检3个产品,N26,"=_wpsfn.WPSAI.TRANSLATE(L26,""英文"")",
体检3个产品,O26,经颅超声多普勒检查,
体检3个产品,P26,用超声多普勒技术对脑动脉血管进行检查，对脑动脉狭窄、闭塞、痉挛等有一定的辅助诊断价值,
体检3个产品,Q26,"=_wpsfn.WPSAI.TRANSLATE(O26,""英文"")",
体检3个产品,R26,"=_wpsfn.WPSAI.TRANSLATE(P26,""英文"")",
体检3个产品,T26,胸部CT,
体检3个产品,U26,胸部CT平扫是目前肺癌筛查的推荐方法，适用于肺癌高风险人群筛查肺癌,
体检3个产品,Y26,幽门螺杆菌检测,
体检3个产品,Z26,碳13呼气试验。检测是否有幽门螺杆菌感染。幽门螺杆菌感染是慢性胃炎、消化性溃疡、胃癌等最重要的致病因素，也是世界卫生组织（WHO）认定的胃癌Ⅰ类致癌原，在我国是胃癌的主要病因。,
体检3个产品,L27,合计：,
体检3个产品,O27,早餐,
体检3个产品,P27,营养早餐：鸡蛋、牛奶、面点、粥、小菜等,
体检3个产品,Q27,"=_wpsfn.WPSAI.TRANSLATE(O27,""英文"")",
体检3个产品,R27,"=_wpsfn.WPSAI.TRANSLATE(P27,""英文"")",
体检3个产品,S27,赠送,
体检3个产品,T27,骨密度检测,
体检3个产品,U27,双能X线吸收仪（DXA）测量骨密度是目前应用广、认可度高的骨密度测量方法，可用于骨质疏松症的诊断和骨折风险性预测。,
体检3个产品,Y27,胸部CT,
体检3个产品,Z27,胸部CT平扫是目前肺癌筛查的推荐方法，适用于肺癌高风险人群筛查肺癌,
体检3个产品,O28,材料费,
体检3个产品,P28,一次性耗材、档案管理,
体检3个产品,Q28,"=_wpsfn.WPSAI.TRANSLATE(O28,""英文"")",
体检3个产品,R28,"=_wpsfn.WPSAI.TRANSLATE(P28,""英文"")",
体检3个产品,T28,疾病风险评估,
体检3个产品,U28,常见慢性非传染性疾病（慢病）及危险因素的风险评估,
体检3个产品,Y28,骨密度检测,
体检3个产品,Z28,双能X线吸收仪（DXA）测量骨密度是目前应用广、认可度高的骨密度测量方法，可用于骨质疏松症的诊断和骨折风险性预测。,
体检3个产品,P29,合计：,
体检3个产品,T29,心率变异分析仪,
体检3个产品,U29,精神压力分析仪（心率变异分析仪）是用于评估个体精神压力水平，它通过分析心率变异性（HRV）来检测自主神经系统的活动平衡，从而客观反映心身压力状态，更好帮助自我察觉潜在心理压力风险,
体检3个产品,Y29,妇科检查,
体检3个产品,Z29,妇科检查＋宫颈液基薄层细胞学检查（TCT）。筛查宫颈癌及癌前病变。,
体检3个产品,T30,经颅多普勒检查,
体检3个产品,U30,用超声多普勒技术对脑动脉血管进行检查，对脑动脉狭窄、闭塞、痉挛等有一定的辅助诊断价值,
体检3个产品,Z30,人乳头瘤病毒（HPV）高危型23项检测。人乳头瘤病毒（HPV）感染尤其是高危型HPV感染是宫颈癌及其癌前病变发生的主要病因，大多数HPV感染无症状，但感染持续存在可诱发宫颈癌变。,
体检3个产品,T31,外周动脉硬化检测,
体检3个产品,U31,用于筛查外周动脉血管疾病；了解动脉血管的弹性、僵硬度（反映动脉硬化的指标）,
体检3个产品,V31,Peripheral Arterial硬化检测,
体检3个产品,Y31,心率变异分析仪,
体检3个产品,Z31,精神压力分析仪（心率变异分析仪）是用于评估个体精神压力水平，它通过分析心率变异性（HRV）来检测自主神经系统的活动平衡，从而客观反映心身压力状态，更好帮助自我察觉潜在心理压力风险,
体检3个产品,T32,早餐,
体检3个产品,U32,营养早餐：鸡蛋、牛奶、面点、粥、小菜等,
体检3个产品,Y32,经颅多普勒检查,
体检3个产品,Z32,用超声多普勒技术对脑动脉血管进行检查，对脑动脉狭窄、闭塞、痉挛等有一定的辅助诊断价值,
体检3个产品,T33,材料费,
体检3个产品,U33,一次性耗材、档案管理,
体检3个产品,W33,"Disposable consumables,档案管理",
体检3个产品,Y33,外周动脉硬化检测,
体检3个产品,Z33,用于筛查外周动脉血管疾病；了解动脉血管的弹性、僵硬度（反映动脉硬化的指标）,
体检3个产品,AA33,Peripheral Arterial硬化检测,
体检3个产品,U34,合计：,
体检3个产品,Y34,早餐,
体检3个产品,Z34,营养早餐：鸡蛋、牛奶、面点、粥、小菜等,
体检3个产品,Y35,材料费,
体检3个产品,Z35,一次性耗材、档案管理,
体检3个产品,Z36,合计：,
